 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity,source_file
15,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0017-0320,541,51.122,14.919,661.526,320.55,662.045,321.25,644,304,33,32,0.655,27657.0,27657.0,2.322,0.431,0.885,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
16,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0018-0326,694,47.581,10.983,877.744,328.772,877.51,328.912,862,306,35,41,0.556,33021.0,33021.0,2.206,0.453,0.789,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
17,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0019-0330,335,52.758,14.811,612.563,330.7,612.309,330.589,602,318,19,25,0.843,17674.0,17674.0,1.466,0.682,0.931,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
18,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0020-0335,548,31.553,7.868,1180.604,334.257,1180.738,334.226,1168,319,26,32,0.714,17291.0,17291.0,1.279,0.782,0.896,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
19,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0021-0336,714,57.599,19.559,269.919,336.983,269.77,336.97,250,322,40,29,0.602,41126.0,41126.0,1.831,0.546,0.865,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
20,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0022-0335,301,32.801,8.797,1067.128,335.314,1066.827,335.439,1058,324,18,23,0.911,9873.0,9873.0,1.262,0.792,0.936,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
21,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0023-0343,381,56.029,13.501,380.458,343.012,380.479,343.201,370,330,20,27,0.872,21347.0,21347.0,1.333,0.75,0.936,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
22,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0024-0351,728,70.955,23.277,475.901,352.431,475.773,352.505,461,331,33,41,0.613,51655.0,51655.0,1.457,0.687,0.851,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
23,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0025-0354,629,38.143,12.384,33.723,354.271,33.724,354.41,21,338,26,33,0.884,23992.0,23992.0,1.275,0.784,0.949,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
24,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0026-0351,325,54.889,11.801,644.894,350.038,644.759,350.198,635,341,23,21,0.823,17839.0,17839.0,1.225,0.817,0.904,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
25,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0027-0359,583,52.695,16.943,802.903,357.939,802.744,357.444,790,342,30,35,0.595,30721.0,30721.0,1.264,0.791,0.823,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
26,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0028-0359,298,39.497,11.14,985.295,359.268,985.259,359.2,976,347,18,24,0.864,11770.0,11770.0,1.441,0.694,0.925,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
27,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0029-0367,483,56.282,25.056,192.092,365.989,192.037,365.771,178,352,25,30,0.832,27184.0,27184.0,1.2,0.833,0.927,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
28,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0030-0364,352,59.415,17.233,560.179,364.21,560.008,364.499,549,352,22,24,0.894,20914.0,20914.0,1.276,0.784,0.931,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
29,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0031-0366,356,59.132,17.663,427.91,367.635,427.923,367.807,418,354,20,25,0.847,21051.0,21051.0,1.33,0.752,0.923,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
30,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0032-0380,315,68.683,22.734,490.862,380.354,490.617,380.22,480,370,21,21,0.913,21635.0,21635.0,1.193,0.838,0.933,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
31,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0033-0384,380,56.516,15.821,703.203,385.439,703.127,385.461,694,371,18,27,0.841,21476.0,21476.0,1.505,0.664,0.943,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
32,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0034-0391,706,40.865,11.745,959.516,390.463,959.512,390.317,943,373,29,36,0.677,28851.0,28851.0,1.401,0.714,0.901,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
33,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0036-0384,236,52.966,12.066,565.818,386.051,565.67,386.081,555,375,19,19,0.803,12500.0,12500.0,1.029,0.972,0.896,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
34,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0037-0388,353,35.87,7.831,1035.888,388.239,1035.818,388.174,1026,375,19,26,0.859,12662.0,12662.0,1.462,0.684,0.933,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
35,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0038-0389,323,54.61,14.398,444.197,389.686,443.869,389.431,433,379,21,21,0.92,17639.0,17639.0,1.046,0.956,0.936,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
36,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0039-0402,308,56.179,10.593,551.786,402.477,551.856,402.248,541,393,22,18,0.923,17303.0,17303.0,1.296,0.772,0.946,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
37,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0040-0409,421,73.765,21.648,366.697,409.602,367.194,409.069,353,396,25,27,0.71,31055.0,31055.0,1.273,0.786,0.876,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
38,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0041-0424,467,54.047,15.171,681.19,427.543,681.298,427.442,670,408,24,33,0.668,25240.0,25240.0,1.593,0.628,0.871,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
39,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0042-0420,279,48.663,10.651,415.873,419.683,415.871,419.884,407,410,19,21,0.9,13577.0,13577.0,1.191,0.84,0.93,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
40,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0043-0421,374,33.888,8.103,1049.93,421.361,1049.752,421.309,1038,411,23,21,0.917,12674.0,12674.0,1.223,0.818,0.942,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
41,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0044-0438,573,50.068,21.624,853.587,438.132,853.507,437.705,841,423,27,31,0.873,28689.0,28689.0,1.311,0.763,0.939,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
42,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0045-0434,330,35.609,9.941,121.979,434.139,122.06,433.984,111,425,22,19,0.93,11751.0,11751.0,1.128,0.887,0.946,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
43,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0046-0439,441,49.077,14.808,714.554,440.08,714.729,439.6,701,425,25,28,0.73,21643.0,21643.0,1.18,0.848,0.884,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
44,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0047-0448,723,38.913,9.589,21.402,446.186,21.112,445.738,4,428,31,40,0.715,28134.0,28134.0,1.875,0.533,0.883,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
45,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0048-0470,722,63.971,21.631,449.266,470.885,449.055,471.811,437,449,26,43,0.68,46187.0,46187.0,1.997,0.501,0.864,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
46,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0049-0470,538,44.632,13.455,555.091,469.472,554.934,469.374,538,458,32,25,0.751,24012.0,24012.0,1.702,0.588,0.9,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
47,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0050-0480,461,39.946,11.839,727.073,479.292,727.137,479.305,715,468,25,24,0.922,18415.0,18415.0,1.068,0.936,0.951,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
48,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0051-0492,556,31.155,7.751,1171.317,490.655,1171.241,490.723,1158,478,30,28,0.836,17322.0,17322.0,1.241,0.806,0.933,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
49,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0052-0511,435,39.738,10.118,574.311,511.433,574.332,511.556,561,498,25,27,0.807,17286.0,17286.0,1.102,0.908,0.899,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
50,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0053-0528,572,39.413,8.158,233.423,529.792,233.528,529.764,218,516,33,25,0.79,22544.0,22544.0,1.359,0.736,0.922,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
51,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0054-0538,646,42.771,13.662,836.647,541.351,836.72,541.379,817,522,34,33,0.668,27630.0,27630.0,1.081,0.925,0.867,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
52,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0056-0548,474,56.586,17.769,354.314,548.422,354.266,548.804,339,537,29,23,0.891,26822.0,26822.0,1.277,0.783,0.945,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
53,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0057-0572,416,36.998,11.534,603.245,572.036,603.239,572.017,592,560,22,25,0.909,15391.0,15391.0,1.345,0.744,0.949,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
54,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0058-0603,398,33.98,10.433,126.505,603.261,126.461,603.172,113,593,25,21,0.889,13524.0,13524.0,1.231,0.812,0.941,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
55,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0060-0608,438,35.311,6.814,431.557,609.135,431.561,608.979,417,597,29,22,0.817,15466.0,15466.0,1.347,0.742,0.923,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
56,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0061-0631,583,35.568,8.36,81.858,630.138,81.824,630.069,67,616,29,30,0.811,20736.0,20736.0,1.128,0.886,0.924,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
57,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0062-0628,313,35.882,5.46,16.356,628.299,16.251,628.184,4,619,23,19,0.924,11231.0,11231.0,1.217,0.822,0.94,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
58,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0063-0641,511,25.63,5.459,878.856,641.334,878.96,641.102,865,629,28,25,0.878,13097.0,13097.0,1.295,0.772,0.941,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
59,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0064-0670,821,37.269,10.501,257.007,672.694,257.044,672.678,241,651,34,38,0.705,30598.0,30598.0,1.165,0.858,0.901,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
60,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0065-0680,323,25.579,5.865,385.738,680.469,385.71,680.229,375,670,21,20,0.927,8262.0,8262.0,1.053,0.949,0.949,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
61,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0066-0689,349,25.384,5.436,484.511,688.695,484.594,688.41,473,679,23,20,0.953,8859.0,8859.0,1.1,0.909,0.95,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
