 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity,source_file
1,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0001-0190,384,32.193,8.262,387.784,190.844,387.719,190.78,377,179,22,23,0.92,12362.0,12362.0,1.086,0.921,0.937,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
2,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0002-0241,1199,38.625,11.143,912.017,243.944,912.328,244.448,893,213,37,56,0.53,46311.0,46311.0,1.824,0.548,0.759,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
3,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0003-0228,397,31.645,5.808,236.56,228.288,236.574,228.313,226,216,22,24,0.915,12563.0,12563.0,1.095,0.913,0.939,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
4,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0004-0233,451,32.459,10.625,422.864,233.79,422.88,233.911,411,221,23,25,0.921,14639.0,14639.0,1.235,0.81,0.952,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
5,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0005-0261,860,46.399,16.734,789.709,262.891,789.527,264.291,776,235,28,53,0.584,39903.0,39903.0,2.567,0.389,0.873,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
6,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0006-0262,528,42.46,8.648,606.922,260.913,606.778,261.252,591,249,33,27,0.708,22419.0,22419.0,1.158,0.863,0.863,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
7,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0008-0274,428,43.776,14.903,766.554,274.734,767.032,274.695,757,259,20,30,0.803,18736.0,18736.0,1.536,0.651,0.93,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
8,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0009-0281,709,47.355,19.269,682.319,279.163,682.381,279.446,669,261,27,40,0.644,33575.0,33575.0,1.621,0.617,0.854,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
9,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0010-0288,670,44.97,15.937,506.31,289.806,506.801,290.867,491,268,32,41,0.637,30130.0,30130.0,2.25,0.445,0.889,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
10,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0011-0299,750,34.905,12.656,19.689,300.903,19.725,301.415,5,278,31,42,0.713,26179.0,26179.0,2.047,0.488,0.915,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
11,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0012-0299,428,47.914,12.978,284.953,300.883,285.174,301.361,273,286,26,26,0.738,20507.0,20507.0,1.335,0.749,0.888,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
12,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0013-0308,543,31.786,10.616,1109.277,306.795,1109.209,306.694,1097,293,25,31,0.881,17260.0,17260.0,1.243,0.805,0.944,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
13,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0014-0310,703,35.929,10.401,82.338,309.979,82.492,310.013,64,294,34,33,0.824,25258.0,25258.0,1.192,0.839,0.911,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
14,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.tif:0016-0312,406,40.968,10.203,839.135,312.667,839.181,312.853,827,301,24,23,0.887,16633.0,16633.0,1.152,0.868,0.929,C2-MAX_TILESCANS_lif - 20250402_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_55183_1M_HET_s1h1_Merged.tif_rotated.csv
